PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,PRVDR_NUM,PGM_TRMNTN_CD,ZIP_CD
01,16,011620,01,36904
01,16,011621,00,36853
01,16,011622,00,35805
01,16,011623,00,36117
01,16,011624,00,35209
01,16,011625,01,35504
01,16,011626,00,35986
01,16,011627,01,36571
01,16,011628,00,36360
01,16,011629,00,35244
01,16,011630,00,35210
01,16,011631,00,36401
01,16,011632,00,35661
01,16,011633,01,36904
01,16,011634,00,35768
01,16,011635,00,35769
01,16,011636,00,36081
01,16,011637,00,35071
01,16,011638,00,35205
01,16,011639,00,35476
01,16,011640,00,36426
01,16,011641,01,36693
01,16,011642,00,36607
01,16,011643,00,35055
01,16,011644,01,36274
01,16,011645,01,36726
01,16,011646,01,35173
01,16,011647,01,35654
01,16,011648,01,36104
01,16,011649,04,35046
01,16,011650,00,36303
01,16,011651,01,36203
01,16,011652,01,35203
01,16,011653,00,36526
01,16,011654,00,35603
01,16,011655,00,36037
01,16,011656,00,36323
01,16,011657,00,35173
01,16,011658,01,35077
01,16,011659,01,36801
01,16,011660,00,35004
01,16,011661,00,35150
01,16,011662,00,35501
01,16,011663,00,35501
01,16,011664,00,35242
01,16,011665,01,35007
01,16,011666,01,36278
01,16,011667,01,35055
01,16,011668,00,35901
01,16,011669,00,35630
01,16,011670,00,35906
01,16,011671,00,36203
01,16,011672,00,36908
01,16,011673,00,36117
01,16,011674,00,35805
01,16,011675,00,35209
01,16,011676,00,35758
01,16,011677,00,35405
01,16,011678,00,35634
01,16,011679,01,36535
01,16,011680,00,36360
01,16,011681,00,36420
01,16,011682,00,35801
01,16,011683,00,35160
01,16,011684,00,36607
01,21,011800,00,36610
01,21,011801,00,36107
01,21,011803,00,35903
01,21,011804,01,35462
01,21,011805,01,36040
01,21,011806,00,36116
01,21,011808,01,36744
01,21,011810,00,35403
01,21,011811,01,36908
01,21,011813,00,35901
01,21,011814,01,35470
01,21,011815,00,35958
01,21,011816,01,35966
01,21,011817,00,35442
01,21,011818,01,36003
01,21,011819,01,35546
01,21,011820,01,35045
01,21,011821,01,35579
01,21,011822,01,36756
01,21,011823,01,35184
01,21,011824,01,36732
01,21,011825,01,35401
01,21,011826,01,36024
01,21,011827,01,35592
01,21,011828,01,35584
01,21,011829,01,35136
01,21,011830,00,35957
01,21,011831,00,35902
01,21,011832,00,36553
01,21,011833,00,36544
01,21,011835,00,36769
01,21,011836,00,36768
01,21,011837,00,36786
01,21,011838,00,35816
01,21,011839,00,36083
01,21,011840,00,36352
01,21,011841,00,36607
01,21,011842,01,36604
01,21,011843,01,36603
01,21,011844,01,36610
01,21,011845,00,36603
01,21,011846,00,36603
01,21,011847,01,35203
01,21,011848,01,35203
01,21,011849,01,35203
01,21,011850,01,35203
01,21,011851,01,35234
01,21,011852,00,35776
01,21,011853,00,35771
01,21,011854,00,36069
01,21,011855,00,36560
01,21,011856,00,36522
01,21,011857,00,35203
01,21,011862,00,36871
01,21,011863,00,36853
01,21,011864,00,36053
01,21,011865,00,36860
01,21,011866,00,36028
01,21,011867,04,36010
01,21,011868,00,36016
01,21,011869,00,35768
01,21,011870,00,36502
01,21,011871,01,36744
01,21,011872,01,35222
01,21,011873,00,35901
01,21,011874,00,35902
01,21,011875,00,35904
01,21,011876,00,36108
01,21,011877,00,36610
01,21,011878,00,36079
01,21,011879,00,35987
01,21,011880,00,35990
01,21,011882,00,36702
01,21,011883,00,36401
01,21,011884,01,35442
01,21,011885,00,36474
01,21,011887,01,36456
01,21,011888,00,36432
01,21,011889,00,36720
01,21,011890,00,36481
01,21,011891,00,35903
01,21,011892,00,36480
01,21,011893,00,36502
01,21,011894,04,36617
01,21,011895,01,36610
01,21,011896,00,36551
01,21,011897,00,35055
01,21,011898,01,35601
01,21,011899,01,35672
01,21,011900,04,35677
01,21,011901,00,35652
01,21,011902,01,35601
01,21,011903,00,35816
01,21,011904,00,36201
01,21,011905,00,35768
01,21,011906,01,35653
01,21,011907,01,35653
01,21,011908,00,36862
01,21,011909,00,36617
01,21,011910,01,36830
01,21,011911,01,36604
01,21,011913,00,36908
01,21,011914,00,36756
01,21,011915,00,36033
01,21,011916,01,36867
01,21,011917,00,36732
01,21,011918,00,35221
01,21,011919,01,36908
01,21,011920,00,35971
01,21,011921,00,35020
01,21,011922,00,35958
01,21,011923,00,35232
01,21,011924,00,36027
01,21,011925,00,35205
01,21,011926,00,36032
01,21,011927,00,36785
01,21,011928,00,36107
01,21,011929,00,35603
01,21,011930,00,36535
01,21,011931,00,35212
01,21,011933,00,35020
01,21,011934,00,35207
01,21,011935,00,35404
01,21,011936,00,36744
01,21,011937,00,35579
01,21,011938,00,35462
01,21,011939,00,35584
01,21,011940,00,36925
01,21,011941,00,35184
01,21,011942,00,35903
01,21,011943,00,35160
01,21,011944,01,35616
01,21,011945,00,35580
01,21,011946,00,36445
01,21,011947,00,35121
01,21,011948,00,35592
01,21,011949,00,36264
01,21,011950,00,35401
01,21,011951,00,36603
01,21,011952,01,35772
01,21,011953,00,35967
01,21,011954,00,36027
01,21,011955,00,36375
01,21,011956,00,36751
01,21,011957,00,35980
